SoC,OCV
0.109,43.14356071377143
0.11,43.1449123332205
0.111,43.146263963825334
0.112,43.14761560543105
0.113,43.14896725788281
0.114,43.15031892102572
0.115,43.151670594704925
0.116,43.153022278765576
0.117,43.154373973052785
0.118,43.1557256774117
0.119,43.15707739168746
0.12,43.1584291157252
0.121,43.15978084937002
0.122,43.161132592467105
0.123,43.162484344861575
0.124,43.16383610639854
0.125,43.16518787692317
0.126,43.166539656280584
0.127,43.167891444315906
0.128,43.16924324087428
0.129,43.17059504580086
0.13,43.17194685894075
0.131,43.173298680139105
0.132,43.174650509241054
0.133,43.17600234609172
0.134,43.17735419053627
0.135,43.17870604241981
0.136,43.18005790158748
0.137,43.18140976788443
0.138,43.182761641155786
0.139,43.184113521246665
0.14,43.18546540800224
0.141,43.18681730126761
0.142,43.18816920088793
0.143,43.18952110670833
0.144,43.190873018573946
0.145,43.1922249363299
0.146,43.193576859821356
0.147,43.19492878889343
0.148,43.19628072339125
0.149,43.197632663159965
0.15,43.19898460804471
0.151,43.2003365578906
0.152,43.2016885125428
0.153,43.20304047184643
0.154,43.204392435646625
0.155,43.205744403788515
0.156,43.20709637611725
0.157,43.208448352477944
0.158,43.20980033271575
0.159,43.21115231667579
0.16,43.21250430420322
0.161,43.213856295143145
0.162,43.21520828934074
0.163,43.21656028664109
0.164,43.217912286889366
0.165,43.21926428993069
0.166,43.22061629561021
0.167,43.221968303773046
0.168,43.223320314264335
0.169,43.22467232692922
0.17,43.22602434161283
0.171,43.2273763581603
0.172,43.22872837641677
0.173,43.230080396227365
0.174,43.23143241743723
0.175,43.2327844398915
0.176,43.2341364634353
0.177,43.235488487913784
0.178,43.23684051317207
0.179,43.23819253905529
0.18,43.23954456540859
0.181,43.240896592077114
0.182,43.24224861890597
0.183,43.243600645740315
0.184,43.24495267242528
0.185,43.246304698805986
0.186,43.24765672472759
0.187,43.24900875003522
0.188,43.250360774574
0.189,43.25171279818907
0.19,43.25306482072557
0.191,43.25441684202864
0.192,43.2557688619434
0.193,43.257120880315
0.194,43.25847289698856
0.195,43.25982491180922
0.196,43.26117692462213
0.197,43.2625289352724
0.198,43.26388094360519
0.199,43.26523294946562
0.2,43.26658495269882
0.201,43.26793695314994
0.202,43.26928895066411
0.203,43.270640945086456
0.204,43.27199293626213
0.205,43.27334492403626
0.206,43.274696908253965
0.207,43.2760488887604
0.208,43.27740086540069
0.209,43.27875283801998
0.21,43.2801048064634
0.211,43.281456770576085
0.212,43.28280873020316
0.213,43.28416068518977
0.214,43.28551263538106
0.215,43.28686458062214
0.216,43.28821652075816
0.217,43.28956845563427
0.218,43.29092038509557
0.219,43.29227230898723
0.22,43.29362422715437
0.221,43.294976139442106
0.222,43.29632804569561
0.223,43.29767994575999
0.224,43.299031839480385
0.225,43.30038372670194
0.226,43.30173560726979
0.227,43.30308748102905
0.228,43.30443934782489
0.229,43.30579120750241
0.23,43.307143059906764
0.231,43.308494904883084
0.232,43.309846742276505
0.233,43.31119857193216
0.234,43.31255039369518
0.235,43.31390220741071
0.236,43.31525401292388
0.237,43.31660581007983
0.238,43.31795759872369
0.239,43.31930937870058
0.24,43.320661149855674
0.241,43.32201291203407
0.242,43.32336466508091
0.243,43.32471640884135
0.244,43.326068143160505
0.245,43.327419867883506
0.246,43.32877158285551
0.247,43.33012328792164
0.248,43.33147498292703
0.249,43.33282666771681
0.25,43.33417834213613
0.251,43.335530006030105
0.252,43.33688165924389
0.253,43.338233301622616
0.254,43.339584933011395
0.255,43.340936553255396
