SoC,OCV,R0,R1,R2,C1,C2,Tau1,Tau2
0.8306,55.44065272517151,0.039120791528322,0.0163762646863329,0.0078362055656393,3388.1490936154228,70998.71277616452,55.48522635380536,556.3605082098109
0.83061,55.4407520383998,0.0391206157215549,0.0163762505105525,0.0078360564908619,3388.1718391627405,71000.75719503046,55.4855508109286,556.3659442742287
0.83062,55.44085135160464,0.0391204399322509,0.0163762363153729,0.0078359074098255,3388.1945910339373,71002.8016804241,55.48587530524017,556.3713798060077
0.83063,55.44095066478751,0.0391202641604126,0.0163762221007928,0.0078357583225307,3388.2173492295465,71004.84623234166,55.48619983674256,556.3768148050845
0.83064,55.44104997794989,0.0391200884060426,0.0163762078668107,0.0078356092289779,3388.2401137500983,71006.89085077928,55.486524405438246,556.382249271396
0.83065,55.441149291093296,0.0391199126691434,0.0163761936134254,0.0078354601291677,3388.262884596126,71008.93553573306,55.48684901132973,556.3876832048787
0.83066,55.44124860421921,0.0391197369497175,0.0163761793406355,0.0078353110231005,3388.285661768161,71010.9802871992,55.487173654419465,556.3931166054697
0.83067,55.44134791732913,0.0391195612477676,0.0163761650484396,0.0078351619107769,3388.308445266735,71013.02510517373,55.48749833470996,556.3985494731054
0.83068,55.44144723042454,0.0391193855632962,0.0163761507368363,0.0078350127921973,3388.33123509238,71015.06998965288,55.487823052203694,556.4039818077229
0.83069,55.44154654350693,0.0391192098963058,0.0163761364058243,0.0078348636673623,3388.354031245628,71017.11494063276,55.48814780690314,556.4094136092585
0.8307,55.44164585657781,0.0391190342467991,0.0163761220554022,0.0078347145362723,3388.376833727012,71019.15995810946,55.4884725988108,556.4148448776492
0.83071,55.44174516963864,0.0391188586147785,0.0163761076855686,0.0078345653989278,3388.399642537064,71021.20504207916,55.48879742792916,556.4202756128318
0.83072,55.44184448269096,0.0391186830002466,0.0163760932963221,0.0078344162553293,3388.4224576763154,71023.25019253799,55.48912229426068,556.4257058147429
0.83073,55.44194379573621,0.0391185074032061,0.0163760788876615,0.0078342671054773,3388.445279145299,71025.29540948203,55.48944719780786,556.4311354833192
0.83074,55.44204310877591,0.0391183318236594,0.0163760644595853,0.0078341179493724,3388.468106944548,71027.34069290746,55.4897721385732,556.4365646184974
0.83075,55.44214242181155,0.0391181562616091,0.0163760500120922,0.0078339687870149,3388.490941074594,71029.3860428104,55.49009711655916,556.4419932202145
0.83076,55.44224173484463,0.0391179807170579,0.0163760355451808,0.0078338196184055,3388.51378153597,71031.43145918689,55.49042213176823,556.4474212884068
0.83077,55.442341047876624,0.0391178051900081,0.0163760210588497,0.0078336704435445,3388.5366283292083,71033.47694203317,55.490747184202895,556.4528488230112
0.83078,55.44244036090903,0.0391176296804625,0.0163760065530976,0.0078335212624326,3388.5594814548413,71035.52249134534,55.491072273865655,556.4582758239646
