SoC,OCV,R0,R1,R2,C1,C2,Tau1,Tau2
57.787,52.28064650062837,0.0561552415879505,0.0407288300386512,0.0295566279013239,610.863425006974,7032.309901777308,24.0758986586058,227.9101563318037
57.788,52.28065719468077,0.0561544683021355,0.0407291444627758,0.0295572313785801,610.8610352655194,7032.223243005744,24.076098896441,227.91162907259115
57.789,52.28066788956503,0.0561536950381481,0.0407294589057229,0.0295578349449046,610.8586452315981,7032.136576626192,24.07629915136123,227.91310191975649
57.79,52.28067858528115,0.0561529217960021,0.0407297733674875,0.0295584386002924,610.85625490521,7032.049902638655,24.07649942336316,227.91457487326767
57.791,52.280689281829154,0.056152148575711,0.0407300878480643,0.0295590423447384,610.8538642863552,7031.963221043131,24.076699712443464,227.9160479330931
57.792,52.28069997920904,0.0561513753772884,0.0407304023474482,0.0295596461782374,610.8514733750337,7031.87653183962,24.07690001859882,227.91752109920068
57.793,52.280710677420814,0.056150602200748,0.0407307168656341,0.0295602501007846,610.8490821712454,7031.789835028123,24.077100341825908,227.91899437155865
57.794,52.28072137646449,0.0561498290461035,0.0407310314026168,0.0295608541123747,610.8466906749906,7031.703130608639,24.077300682121397,227.920467750135
57.795,52.28073207634006,0.0561490559133684,0.0407313459583911,0.0295614582130028,610.8442988862688,7031.616418581169,24.07750103948196,227.921941234898
57.796,52.28074277704756,0.0561482828025564,0.040731660532952,0.0295620624026637,610.8419068050804,7031.529698945711,24.07770141390428,227.9234148258156
57.797,52.28075347858699,0.0561475097136811,0.0407319751262941,0.0295626666813524,610.8395144314253,7031.442971702269,24.077901805385014,227.924888522856
57.798,52.28076418095835,0.0561467366467561,0.0407322897384125,0.0295632710490639,610.8371217653034,7031.356236850837,24.078102213920857,227.92636232598724
57.799,52.28077488416165,0.0561459636017952,0.0407326043693019,0.0295638755057931,610.8347288067148,7031.269494391421,24.078302639508465,227.92783623517744
57.8,52.2807855881969,0.0561451905788119,0.0407329190189572,0.0295644800515348,610.8323355556595,7031.182744324018,24.07850308214452,227.92931025039468
57.801,52.280796293064114,0.0561444175778198,0.0407332336873733,0.0295650846862841,610.8299420121374,7031.095986648628,24.07870354182569,227.93078437160705
57.802,52.280806998763296,0.0561436445988327,0.0407335483745449,0.0295656894100359,610.8275481761486,7031.009221365252,24.078904018548634,227.93225859878265
57.803,52.280817705294446,0.0561428716418641,0.0407338630804669,0.0295662942227851,610.8251540476932,7030.92244847389,24.07910451231005,227.93373293188947
57.804,52.28082841265759,0.0561420987069277,0.0407341778051342,0.0295668991245267,610.822759626771,7030.83566797454,24.07930502310658,227.93520737089568
57.805,52.280839120852725,0.0561413257940371,0.0407344925485415,0.0295675041152554,610.820364913382,7030.748879867205,24.079505550934915,227.9366819157693
57.806,52.28084982987986,0.056140552903206,0.0407348073106839,0.0295681091949664,610.8179699075264,7030.6620841518825,24.07970609579172,227.9381565664784
57.807,52.28086053973902,0.056139780034448,0.040735122091556,0.0295687143636545,610.815574609204,7030.575280828573,24.079906657673657,227.93963132299103
57.808,52.28087125043018,0.0561390071877767,0.0407354368911527,0.0295693196213147,610.8131790184149,7030.488469897278,24.0801072365774,227.9411061852753
57.809,52.280881961953376,0.0561382343632059,0.0407357517094689,0.0295699249679418,610.810783135159,7030.401651357996,24.080307832499617,227.9425811532992
57.81,52.28089267430862,0.0561374615607491,0.0407360665464994,0.0295705304035309,610.8083869594365,7030.314825210728,24.080508445436976,227.94405622703076
57.811,52.28090338749588,0.05613668878042,0.0407363814022391,0.0295711359280767,610.8059904912471,7030.227991455473,24.080709075386142,227.945531406438
57.812,52.280914101515215,0.0561359160222322,0.0407366962766827,0.0295717415415743,610.8035937305912,7030.141150092231,24.08090972234379,227.94700669148912
57.813,52.28092481636661,0.0561351432861994,0.0407370111698252,0.0295723472440186,610.8011966774684,7030.054301121003,24.08111038630658,227.94848208215203
57.814,52.28093553205008,0.0561343705723353,0.0407373260816613,0.0295729530354045,610.798799331879,7029.967444541789,24.081311067271177,227.9499575783948
